Partlist exported from C:/Users/Bill/Dropbox/EAGLE/projects/
Alan Emanuel textured walkway/Emanuel textured walkway V1.sch at 4/9/2025 10:39 AM


Qty 	Value	                 Device	                Parts                                                                                                                                                                        
3   	1uF                   	C-USC0805             	C5, C6, C7                                                                                                                                                                   
1   	3.3                   	TP-040-100            	3.3                                                                                                                                                                          
3   	10uH                  	L-USL1812             	L1, L2, L3                                                                                                                                                                   
1   	22-23-2021            	22-23-2021            	X1                                                                                                                                                                           
1   	74LS14D               	74LS14D               	IC10                                                                                                                                                                         
2   	78E-5V                	RECOM-R-78E           	IC8, IC9                                                                                                                                                                     
1   	78E-12V               	RECOM-R-78E           	IC7                                                                                                                                                                          
3   	100/35                	CPOL-US140CLH-0810    	C2, C3, C4                                                                                                                                                                   
3   	100nF                 	C-USC0805             	C8, C9, C10                                                                                                                                                                  
1   	330/35                	CPOL-US140CLH-1010    	C1                                                                                                                                                                           
6   	BTS3118N              	BTS3118N              	IC1, IC2, IC3, IC4, IC5, IC6                                                                                                                                                 
1   	EXTRA                 	ML16                  	SV3                                                                                                                                                                          
1   	I/O-1                 	ML16                  	SV2                                                                                                                                                                          
1   	STEPPER               	ML16                  	SV1                                                                                                                                                                          
1   	TEENSY_4.0_WITH_24-33 	TEENSY_4.0_WITH_24-33 	U$1                                                                                                                                                                          
38  	TP-040-100            	TP-040-100            	+5B, 6, 7, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, E9, E10, E11, E12, E13, E14, E15, E16, EI1, EI2, EI3, EO1, EO2, EO3, MISO, MOSI, RX1, SCK, TX1, VI3, VS1, VS2, VS3
1   	TRCV-175-LARGE        	TRCV-175-LARGE        	J1                                                                                                                                                                           
			
